state,year,exports_total,imports_total,exports_china,imports_china,GDP_millions
Washington,2009,51850856743,37647228383,9113475809,10327872527,350996
Washington,2010,53345329885,42770678908,10305016874,9758182758,362521
Washington,2011,64800272158,46684716138,11238767551,8744083060,372444
Washington,2012,75654307226,47627199440,14156985285,8464932816,390643
Washington,2013,81630551605,49927174369,16710678713,8800760138,407160
Washington,2014,90547036334,52378630833,20689637743,8302348527,427052
West Virginia,2008,5643487491,3357244811,251832539,231250204,62165
West Virginia,2009,4825570207,2543542915,296107231,314849019,63053
West Virginia,2010,6443030890,3208029448,357043569,294325082,66230
West Virginia,2011,9039171951,3478678637,420173025,246781144,69892
West Virginia,2012,11407152053,3808933458,887286692,237778898,68722
West Virginia,2013,8619966848,3701383884,613327918,283759199,70595
West Virginia,2014,7486181404,3811090386,549490885,278680173,75337
Wisconsin,2008,20569621721,21581340308,1230797313,4527979726,245513
Wisconsin,2009,16724996880,16532310943,1097618968,3979150434,246106
Wisconsin,2010,19800247695,19688600428,1333419496,4776742946,254348
Wisconsin,2011,22068884434,21922514015,1383400575,5376964215,263800
Wisconsin,2012,23118995133,23197698390,1547348491,5771683210,273091
Wisconsin,2013,23108675658,22223146816,1658711119,5853693332,284728
Wisconsin,2014,23428059266,23524598717,1560985127,6063467237,292891
Wyoming,2008,1081014094,3815381785,5826076,113973419,43647
Wyoming,2009,926141589,1996189063,6333546,87375135,37889
Wyoming,2010,983304393,1743354257,4403383,111690803,40237
Wyoming,2011,1218714268,1937329530,3673154,103750052,43067
Wyoming,2012,1439194146,2005071628,12550082,103627313,40877
Wyoming,2013,1350632355,2161765008,15152891,120999026,41782
Wyoming,2014,1757198477,1901836758,19014795,128846273,44190
